AREA_TITLE,PRIM_STATE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
Alabama,AL,Database Administrators,"1,550",3.8,0.756,1.51,43.03,"89,510",1.3,26.54,33.51,40.90,51.60,62.33,"55,200","69,700","85,070","107,330","129,640",,
Alabama,AL,Database Architects,310,30.9,0.149,0.38,55.00,"114,400",5.2,34.60,40.68,54.81,61.94,81.59,"71,960","84,620","114,000","128,840","169,700",,
Alabama,AL,Data Scientists,"1,120",17.2,0.547,0.43,47.61,"99,040",2.6,26.29,35.79,48.35,56.79,69.83,"54,690","74,450","100,560","118,130","145,250",,
Alaska,AK,Database Administrators,90,12.4,0.292,0.58,43.45,"90,370",4.1,27.98,33.34,43.65,51.19,62.03,"58,200","69,360","90,800","106,470","129,020",,
Alaska,AK,Database Architects,50,15.9,0.168,0.43,60.41,"125,650",4.5,37.21,42.41,57.42,74.68,89.77,"77,400","88,220","119,440","155,320","186,730",,
Alaska,AK,Data Scientists,200,11.1,0.638,0.50,44.09,"91,710",2.0,24.58,30.85,38.46,53.12,68.71,"51,130","64,160","80,000","110,480","142,920",,
Arizona,AZ,Database Administrators,"1,510",7.0,0.483,0.96,50.23,"104,470",2.5,24.43,35.00,51.89,63.24,72.20,"50,820","72,800","107,940","131,530","150,180",,
Arizona,AZ,Database Architects,"1,040",10.1,0.334,0.85,58.21,"121,080",4.6,29.28,42.99,58.95,75.23,82.95,"60,890","89,420","122,620","156,470","172,540",,
Arizona,AZ,Data Scientists,"3,800",11.1,1.216,0.96,54.07,"112,470",2.9,31.40,38.47,51.15,64.62,81.82,"65,310","80,020","106,400","134,410","170,190",,
Arkansas,AR,Database Administrators,490,6.0,0.384,0.77,43.83,"91,160",2.0,24.53,30.99,40.83,51.76,70.88,"51,020","64,460","84,930","107,660","147,430",,
Arkansas,AR,Database Architects,290,8.5,0.225,0.57,46.24,"96,180",2.2,28.15,38.59,47.25,52.27,63.39,"58,560","80,280","98,280","108,710","131,840",,
Arkansas,AR,Data Scientists,330,3.9,0.263,0.21,56.37,"117,250",2.2,39.84,48.80,55.72,61.77,76.78,"82,870","101,510","115,890","128,490","159,700",,
California,CA,Database Administrators,"8,070",10.2,0.450,0.90,55.95,"116,380",1.5,29.56,37.68,53.93,68.12,84.09,"61,480","78,370","112,170","141,680","174,910",,
California,CA,Database Architects,"6,120",4.5,0.341,0.86,78.20,"162,660",1.0,45.06,62.58,78.01,93.73,109.71,"93,720","130,170","162,250","194,960","228,200",,
California,CA,Data Scientists,"33,220",1.9,1.851,1.46,67.54,"140,490",0.8,32.72,45.31,64.27,83.29,102.44,"68,050","94,240","133,690","173,250","213,080",,
Colorado,CO,Database Administrators,"1,950",11.0,0.689,1.37,56.00,"116,470",3.8,32.09,37.81,55.97,68.44,79.60,"66,750","78,630","116,420","142,360","165,560",,
Colorado,CO,Database Architects,"2,180",9.3,0.769,1.95,68.22,"141,890",1.9,40.25,52.38,64.80,82.29,97.65,"83,720","108,940","134,780","171,160","203,110",,
Colorado,CO,Data Scientists,"5,910",6.6,2.088,1.65,57.85,"120,320",4.3,31.45,40.54,53.83,65.63,83.99,"65,420","84,320","111,970","136,520","174,700",,
